A,,,,,,,,
,,,,,,,,
"rear spoiler (n)
ˈspɔɪ.lər/",,,,,,sayap yang menempel di bodi,sayap belakang mobil,
,,,,,,,,
,,,,,,,,
rear-view mirror (n)                                                                                                                                                                                                                                                                                                                                        /ˌrɪə vjuː ˈmɪrə(r)/,,,,,,kaca spion,kaca spion,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure R.1 Rear-view mirror (source: istockphoto.com),,,,,,,,
,,,,,,,,
Rear Wheel Drive (RWD) (n)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 /rɪər .wiːl ˈdraɪv/,,,,,,penggerak roda belakang,penggerak roda belakang,
,,,,,,,,
,,,,,,,,
"rear window (n)
/ˈwɪn.dəʊ/",,,,,,jendela belakang mobil,jendela belakang,
,,,,,,,,
,,,,,,,,
Relay Block (R/B) (n)                                                                                                                                                                                                                                                                                                                                          /ˌrɪˈleɪ blɒk/,,,,,,kotak relay,box relay,
,,,,,,,,
,,,,,,,,
release bearing (n)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             /rɪˈliːs ˈbeə.rɪŋ/,,,,,,bantalan rilis,drek laker,
,,,,,,,,
,,,,,,,,
release fork (n)                                                                                                                                                                                                                                                                                                                                                           /rɪˈliːs fɔːk/,,,,,,garpu rilis,cakaran,
,,,,,,,,
,,,,,,,,
resistor (n)                                                                                                                                                                                                                                                                                                                                                                          /rɪˈzɪs.tər/,,,,,,resistor,resistor,
,,,,,,,,
,,,,,,,,
rotary (n)                                                                                                                                                                                                                                                                                                                                                                                                                                                  /ˈrəʊ.tər.i/,,,,,,putaran,doritos,
,,,,,,,,
,,,,,,,,
retreat light (n)                                                                                                                                                                                            / rɪˈtriːt laɪt/,,,,,,lampu mundur,lampu mundur,
,,,,,,,,
,,,,,,,,
Right Hand Drive (RHD) (n)                                                                                                                                                                                                                                                                                                                        /ˌraɪt.hænd ˈdraɪv/,,,,,,pengendalian tangan kanan atau kemudi sebelah kanan,setir kanan,
,,,,,,,,
,,,,,,,,
rim (n)                                                                                                                                                                                                                                                                                                                                                                              /rɪm/,,,,,,pelek,pelek,
,,,,,,,,
,,,,,,,,
ring piston (n)                                                                                                                                                                                                                                                                                                                                                    /rɪŋ ˈpɪstən/,,,,,,cincin torak,"cincin torak, ring seher",
,,,,,,,,
,,,,,,,,
rocker arm (n)                                                                                                                                                                                                                                                                                                                                                          /ˈrɒkə(r) ɑːm/,,,,,,"tuas katup, batang penumbuk","tuas katup, pelatuk.",
,,,,,,,,
,,,,,,,,
round bearing (n)                                                                                                                                                                                                                                                                                                                                                      /raʊnd ˈbeə.rɪŋ/,,,,,,bantalan bulat,metal jalan,
,,,,,,,,
,,,,,,,,
Round Per Minute (RPM) (n)                                                                                                                                                                                                                                                                                                                                                                              /raʊnd pɜːr ˈmɪn.ɪt/,,,,,,kecepatan putaran mesin,kecepatan putaran mesin,
,,,,,,,,
,,,,,,,,
roller (n)                                                                                                                                                                                                                                                                                                                                                               /ˈrəʊ.lər/,,,,,,Rol,rol,
,,,,,,,,
,,,,,,,,
roller brush (n)                                                                                                                                                                                                                                                                                                                                                  /ˈrəʊ.lər brʌʃ/,,,,,,kuas rol,kuas rol,
,,,,,,,,
,,,,,,,,
rubber damper (n)                                                                                                                                                                                                                                                                                                                                            /ˈrʌbə(r) ˈdæmpə(r)/,,,,,,karet peredam,karet kaki-kaki,
,,,,,,,,
S,,,,,,,,
English,,,,,,Indonesia,Local,
sandpaper (n)                                                                                                                                                                                                                                                                                                                                                          /ˈsændˌpeɪ.pər/,,,,,,kertas amplas,kertas pasir,
,,,,,,,,
,,,,,,,,
Scan Tool (ST) (n)                                                                                                                                                                                                                                                                                      /skæn tuːl/,,,,,,alat scan,alat diagnose,
,,,,,,,,
,,,,,,,,
scraper (n)                                                                                                                                                                                                                                                                                                                                                         / ˈskreɪpə(r) /,,,,,,pengkikis,pengkikis,
,,,,,,,,
,,,,,,,,
screwdriver (n)                                                                                                                                                                                                                                                                                                                                                                                                                                                                             /ˈskruːdraɪvə(r)/,,,,,,obeng,obeng,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure S.1 Screwdriver (source: nytimes.com),,,,,,,,
,,,,,,,,
scrutineering (n)                                                                                                                                                                                                                                                                                                                                               /ˌskruː.tɪˈnɪərɪŋ/,,,,,,pemeriksaan kendaraan secara menyeluruh,pemeriksaan kendaraan secara menyeluruh,
,,,,,,,,
,,,,,,,,
seat (n)                                                                                                                                                                                                                                                                                                                                                  /siːt/,,,,,,jok,jok,
,,,,,,,,
,,,,,,,,
separator (n)                                                                                                                                                                                                                                                                                                                                                       /ˈsep.ər.ətər/,,,,,,komponen pemisah zat air dan uap,sekat uap air,
,,,,,,,,
,,,,,,,,
"Sequential Multiport Fuel Injection (SFI) (n)
/sɪˈkwen.ʃəl mʌl.tipɔːtˈfjʊəl ɪnˌdʒek.ʃən",,,,,,urutan injeksi bahan bakar banyak lubang,urutan injeksi bahan bakar banyak lubang,urutan injeksi bahan bakar banyak lubang
,,,,,,,,
,,,,,,,,
"Service Reminder Indicator (SRI) (n)
/ˈsɜː.vɪs rɪˈmaɪn.dər ˈɪn.dɪ.keɪ.tər/",,,,,,indikator pengingat servis,indikator pengingat servis,indikator pengingat servis
,,,,,,,,
,,,,,,,,
shaft (n)                                                                                                                                                                                                                                                                                                                                                                       /ʃɑːft/,,,,,,poros,poros,
,,,,,,,,
,,,,,,,,
shock (n)                                                                                                                                                                                                                                                                                                                                                                                         /ʃɒk/,,,,,,sok,sok,
,,,,,,,,
,,,,,,,,
shock absorber (n)                                                                                                                                                                                                                                                                                                                                                                              /ˈʃɒk əbzɔːbə(r)/,,,,,,sok peredam,sok,
,,,,,,,,
,,,,,,,,
shock breaker (n)                                                                                                                                                                                                                                                                                                                                                                 /ʃɒk ˈbreɪ.kər/,,,,,,peredam kejut,peredam sok,
,,,,,,,,
,,,,,,,,
"Single Overhead Camshaft (SOHC) (n)
/ˈsɪŋ.ɡəl ˈəʊ.və.hed ˈkæm.ʃɑːft/",,,,,,camshaft tunggal diatas kepala silinder,singel noken as,
,,,,,,,,
,,,,,,,,
Single Point Injection (SPI) (n)                                                                                                                                                                                                                                                                                                                                     /ˈsɪŋ.ɡəl pɔɪnt ɪnˈdʒek.ʃən/,,,,,,injeksi berlubang tunggal,injektor satu nosel,
,,,,,,,,
,,,,,,,,
Smoke Puff Limiter (SPL) (n)                                                                                                                                                                                                                                                                                                                    /sməʊk pʌf ˈlɪm.ɪt ər/,,,,,,pembatas kepulan asap,pembatas kepulan asap,pembatas kepulan asap
,,,,,,,,
,,,,,,,,
Society of Automotive Engineer (SAE) (n)                                                                                                                                                                                                                                                                                      /səˈsaɪ.ə.ti əv ˌɔː.təˈməʊ.tɪv ˌen.dʒɪˈnɪər/,,,,,,satuan ukuran kekentalan oli,satuan ukuran kekentalan oli,
,,,,,,,,
,,,,,,,,
socket (n)                                                                                                                                                                                                                                                                                                                                                             /ˈsɒk.ɪt/,,,,,,kunci sok,kunci sok,
,,,,,,,,
,,,,,,,,
spark plug (n)                                                                                                                                                                                                                                                                                                                                                  /ˈspɑːk plʌɡ/,,,,,,busi,busi,
,,,,,,,,
,,,,,,,,
Specification (SPEC) (n)                                                                                                                                                                                                                                                                                                                               /ˌspes.ɪ.fɪˈkeɪ.ʃən/,,,,,,spesifikasi,spek,
,,,,,,,,
,,,,,,,,
spring (n)                                                                                                                                                                                                                                                                                                                                                                                                                         /sprɪŋ/,,,,,,pegas,per,
,,,,,,,,
,,,,,,,,
"slotted screwdriver (n)
/ˈslɒt.ɪd
ˈskruːˌdraɪ.vər/",,,,,,obeng kembang,obeng kembang,
,,,,,,,,
,,,,,,,,
snap ring (n)                                                                                                                                                                                                                                                                                                                                                      /snæp rɪŋ/,,,,,,pengunci,pengunci,
,,,,,,,,
,,,,,,,,
socket (n)                                                                                                                                                                                                                                                                                                                                                        /ˈsɒkɪt/,,,,,,stopkontak,soket,
,,,,,,,,
,,,,,,,,
socket spanner (n)                                                                                                                                                                                                                                                                                                                                                    /ˈsɒkɪt ˈspænə(r)/,,,,,,kunci soket,kunci sok,
,,,,,,,,
,,,,,,,,
solid axle beam (n)                                                                                                                                                                                                                                                                                                                                        /ˈsɒlɪd ˈæksl biːm/,,,,,,balok poros padat,balok poros,
,,,,,,,,
,,,,,,,,
Special Service Tools (SST) (n)                                                                                                                                                                                                                                                                                                                                       /ˈspeʃ.əl ˈsɜː.vɪs tuːls/,,,,,,alat-alat servis khusus,kunci khusus,
,,,,,,,,
,,,,,,,,
spray gun (n)                                                                                                                                                                                                                                                                                                                                                    /ˈspreɪ ˌɡʌn/,,,,,,pistol pengabut cairan cat,pistol semprot,
,,,,,,,,
,,,,,,,,
spring eye (n)                                                                                                                                                                                                                                                                                                                                                          / sprɪŋ aɪ/,,,,,,mata per daun,mata per daun,
,,,,,,,,
,,,,,,,,
Starting Injection Control System (SICS) (n)                                                                                                                                                                                                                                                                                 /stɑːt ɪŋ ɪnˈdʒek.ʃən kənˈtrəʊl ˈsɪs.təm,,,,,,sistem kontrol injeksi start,sistem kontrol injeksi start,sistem kontrol injeksi start
,,,,,,,,
,,,,,,,,
steering (n)                                                                                                                                                                                                                                                                                                                                                                / ˈstɪərɪŋ /,,,,,,kemudi,setir,
,,,,,,,,
,,,,,,,,
stabilizer bar (n)                                                                                                                                                                                                                                                                                                                                               /ˈsteɪ.bəl.aɪ.zər bɑːr/,,,,,,batang penyeimbang,batang penyeimbang,batang penyeimbang
,,,,,,,,
,,,,,,,,
steering brake (n)                                                                                                                                                                                                                                                                                                                                          /ˈstɪərɪŋ breɪk/,,,,,,rem kemudi,rem,
,,,,,,,,
,,,,,,,,
steering knuckle (n)                                                                                                                                                                                                                                                                                                                                        /ˈstɪərɪŋ ˈnʌkl/,,,,,,sendi kemudi,sendi kemudi,
,,,,,,,,
,,,,,,,,
steering wheel (n)                                                                                                                                                                                                                                                                                                                                                      /ˈstɪərɪŋ wiːl/,,,,,,roda kemudi,roda setir,
,,,,,,,,
,,,,,,,,
step bumper (n)                                                                                                                                                                                                                                                                                                                                             /step ˈbʌmpə(r)/,,,,,,bemper pijakan,bemper pijakan,
,,,,,,,,
,,,,,,,,
stop light (n)                                                                                                                                                                                                                                                                                                                                                        /ˈstɒp laɪt/,,,,,,lampu rem,lampu rem,
,,,,,,,,
,,,,,,,,
strut bar (n)                                                                                                                                                                                                                                                                                                                                                  /strʌt bɑː(r)/,,,,,,tiang penyangga,batang penopang,
,,,,,,,,
,,,,,,,,
studded tyre (n)                                                                                                                                                                                                                                                                                                                                               /ˈstʌd.ɪd taɪər/,,,,,,ban berpaku,trek es salju,
,,,,,,,,
,,,,,,,,
Supplemental Restraint System (SRS) (n)                                                                                                                                                                                                                                                                                              /ˌsʌp.lɪˈmen.təl rɪˈstreɪnt ˈsɪs.təm/,,,,,,sistem pengendalian tambahan,sistem keamanan tambahan,
,,,,,,,,
,,,,,,,,
suspension (n)                                                                                                                                                                                                                                                                                                                                       /səˈspenʃn/,,,,,,penahan beban,suspensi,
,,,,,,,,
,,,,,,,,
swing arm (n)                                                                                                                                                                                                                                                                                                                                                                  /swɪŋ ɑːm/,,,,,,lengan ayun,sapit undang,
,,,,,,,,
,,,,,,,,
switch (SW) (n)                                                                                                                                                                                                                                                                                                                                                    /swɪtʃ/,,,,,,saklar,sakelar,
,,,,,,,,
,,,,,,,,
System Readiness Test (SRT) (n)                                                                                                                                                                                                                                                                                                                                        /ˈsɪs.təm ˈred.i.nəs test/,,,,,,tes kesiapan sistem,tes kesiapan sistem,
,,,,,,,,
T,,,,,,,,
English,,,,,,Indonesia,Local,
tachometer (TACH) (n)                                                                                                                                                                                                                                                                                                                       /tækˈɒm.ɪ.tər/,,,,,,takometer,takometer,
,,,,,,,,
,,,,,,,,
tail lights (n)                                                                                                                                                                                                                                                                                                                                                         /ˈteɪl laɪt /,,,,,,"lampu rem belakang yang berwarna merah, lampu belakang","lampu rem belakang yang berwarna merah, lampu belakang",
,,,,,,,,
,,,,,,,,
,,,,,,,,
tailpipe (n)                                                                                                                                                                                                                                                                                                                                                        /ˈteɪl.paɪp/,,,,,,pipa buang bagian belakang,knalpot,
,,,,,,,,
,,,,,,,,
tailpipe extension (n)                                                                                                                                                                                                                                                                                                                                      /ˈteɪl.paɪp ɪkˈsten.ʃən/,,,,,,perpanjangan pipa gas buang,sambungan knalpot,
,,,,,,,,
,,,,,,,,
tank (n)                                                                                                                                                                                                                                                                                                                                                             /tæŋk /,,,,,,tangki,tangki,
,,,,,,,,
,,,,,,,,
ten to two (n)                                                                                                                                                                                                                                                                                                                                                /ten tuː tuː/,,,,,,posisi tangan pada setir (posisi jam 2 kurang 10 menit),posisi setir kecepatan tinggi,
,,,,,,,,
,,,,,,,,
test drive (n)                                                                                                                                                                                                                                                                                                                                                       /ˈtest ˌdraɪv/,,,,,,uji kelayakan kendaraan,tes jalan,
,,,,,,,,
,,,,,,,,
test track (n)                                                                                                                                                                                                                                                                                                                                                       /ˈtest træk/,,,,,,uji lintasan,uji lintasan,
,,,,,,,,
,,,,,,,,
Thermal Vacuum Valve (TVY) (n)                                                                                                                                                                                                                                                                                                                 /ˈθɜː.məl ˈvæk.juːm vælv/,,,,,,katup vacuum thermal,katup vacuum thermal,
,,,,,,,,
,,,,,,,,
thermostat (n)                                                                                                                                                                                                                                                                                                                                                             /ˈθɜː.mə.stæt/,,,,,,"pengatur suhu, termostat","pengatur suhu, termostat",
,,,,,,,,
,,,,,,,,
Three-Way Catalytic Converter (TWC) (n)                                                                                                                                                                                                                                                                                                                                        /θriː weɪ ˌkæt.əˈlɪt.ɪk kənˈvɜː.tər/,,,,,,katalitik tiga arah,katalitic tiga arah,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Throttle Body (TB) (n)                                                                                                                                                                                                                                                                                                                                     /ˈθrɒt.əl ˈbɒd.i/,,,,,,bodi trotel,trotel bodi,
,,,,,,,,
,,,,,,,,
thrust washer (n)                                                                                                                                                                                                                                                                                                                                      /θrʌst ˈwɒʃə(r)/,,,,,,"bantalan, luncur aksial, bantalan luncur aksial","bantalan, luncur bantalan luncur aksial",
,,,,,,,,
,,,,,,,,
timing belt (n)                                                                                                                                                                                                                                                                                                                                                    /ˈtaɪmɪŋ belt/,,,,,,tali poli,tali poli,
,,,,,,,,
,,,,,,,,
timing chain (n)                                                                                                                                                                                                                                                                                                                                                  /ˈtaɪmɪŋ tʃeɪn/,,,,,,rantai api,rantai kateng,
,,,,,,,,
,,,,,,,,
tire (n)                                                                                                                                                                                                                                                                                                                                                                    /ˈtaɪə(r)/,,,,,,ban,ban,
,,,,,,,,
,,,,,,,,
tire valve (n)                                                                                                                                                                                                                                                                                                                                                        /ˈtaɪə(r) vælv/,,,,,,pentil ban,pentil ban,
,,,,,,,,
,,,,,,,,
toolbox (n)                                                                                                                                                                                                                                                                                                                                                          /ˈtuːl.bɒks/,,,,,,kotak kunci,tempat kunci,
,,,,,,,,
,,,,,,,,
Transaxle (T/A) (n)                                                                                                                                                                                                                                                                                                                   /trænzˈæk.səl/,,,,,,transmisi,poros gandar,
,,,,,,,,
,,,,,,,,
"transmission system (n)
/trænzˈmɪʃn ˈsɪstəm/",,,,,,sistem persneling,sistem persneling,
,,,,,,,,
,,,,,,,,
"trigger (n)
/ˈtrɪɡ.ər/",,,,,,tuas penarik pada spray gun,pelatuk,
,,,,,,,,
,,,,,,,,
trunk (n)                                                                                                                                                                                                                                                                                                                                                               /trʌŋk/,,,,,,bagasi,bagasi,
,,,,,,,,
,,,,,,,,
tubeless (n)                                                                                                                                                                                                                                                                                                                                                                           / tjuːb les/,,,,,,tanpa ban dalam,ban buta,
,,,,,,,,
,,,,,,,,
tube tire (n)                                                                                                                                                                                                                                                                                                                                               / tjuːb ˈtaɪə(r)/,,,,,,ban dalam,ucus,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure T.1 Tube tire (source: idntimes.com),,,,,,,,
,,,,,,,,
turn signal (n)                                                                                                                                                                                                                                                                                                                                                    / ˈtɜːn sɪɡnəl /,,,,,,lampu indikator,lampu sein,
,,,,,,,,
,,,,,,,,
twilight lamp (n)                                                                                                                                                                                                                                                                                                                                                /ˈtwaɪ.laɪt læmp/,,,,,,lampu senja,lampu senja,
,,,,,,,,
,,,,,,,,
two wheels drive (n)                                                                                                                                                                                                                                                                                                                                   /tuː.wiːls ˈdraɪv/,,,,,,penggerak duaroda,penggerak dua roda,
,,,,,,,,
U,,,,,,,,
English,,,,,,Indonesia,Local,
used car (n)                                                                                                                                                                                                                                                                                                                                                                /juːzd ˈkɑː/,,,,,,mobil bekas,mobil bekas,
,,,,,,,,
,,,,,,,,
ultimate strength (n),,,,,,kuat limit,kuat limit,
/ˈʌl.tɪ.mət streŋθ/,,,,,,,,
,,,,,,,,
ultimate stress (n)                                                                                                                                                                                                                                                                                                                                            /ˈʌl.tɪ.mət stres/,,,,,,tegangan patah,tegangan patah,
,,,,,,,,
,,,,,,,,
undercarriage (n)                                                                                                                                                                                                                                                                                                                                                      /ˈʌn.dəˌkær.ɪdʒ/,,,,,,rangka bawah,rangka bawah,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure U.1 Undercarriage (source: myedisi.com),,,,,,,,
,,,,,,,,
undercut (n)                                                                                                                                                                                                                                                                                                                                                     /ˌʌn.dəˈkʌt/,,,,,,galian bawah,takik,
,,,,,,,,
V,,,,,,,,
English,,,,,,Indonesia,Local,
valve (n)                                                                                                                                                                                                                                                                                                                                                      /vælv/,,,,,,Katup,klep,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure V.1 Valve (source: GridOto.com),,,,,,,,
,,,,,,,,
valve cap (n)                                                                                                                                                                                                                                                                                                                                                                             /vælv kæp/,,,,,,tutup katup,tutup pentil,
,,,,,,,,
,,,,,,,,
valve cover (n)                                                                                                                                                                                                                                                                                                                                           /vælv ˈkʌv.ər/,,,,,,penutup klep,cover klep,
,,,,,,,,
,,,,,,,,
valve lifter (n)                                                                                                                                                                                                                                                                                                                                        /vælv lɪft ə(r)/,,,,,,pengangkat/penumbuk katup,pengangkat/penumbuk katup,
,,,,,,,,
,,,,,,,,
valve seat (n)                                                                                                                                                                                                                                                                                                                                  /vælv siːt/,,,,,,dudukan katup,dudukan katup,
,,,,,,,,
,,,,,,,,
valve spring (n)                                                                                                                                                                                                                                                                                                                             /vælv sprɪŋ /,,,,,,pegas katup,pegas katup,
,,,,,,,,
,,,,,,,,
valve tire (n)                                                                                                                                                                                                                                                                                                                                  /vælv taɪər/,,,,,,katup pengisi udara ban,pentil ban,
,,,,,,,,
,,,,,,,,
valve tube (n)                                                                                                                                                                                                                                                                                                                                         /vælv tjuːb/,,,,,,selang pentil (katup),"selang pentil, dop ucus",
,,,,,,,,
,,,,,,,,
vaporization (n)                                                                                                                                                                                                                                                                                                                                     /ˌveɪpəraɪˈzeɪʃn /,,,,,,penguapan,penguapan,
,,,,,,,,
,,,,,,,,
"Vehicle Speed Sensor (VSS) (n)
/ˈvɪə.kəl spiːd ˈsen.sər/",,,,,,sensor kecepatan kendaraan,sensor kecepatan kendaraan,
,,,,,,,,
,,,,,,,,
viscosity (n)                                                                                                                                                                                                                                                                                                                           /vɪˈskɒs.ə.ti/,,,,,,kekentalan  suatu cairan,kekentalan,
,,,,,,,,
,,,,,,,,
viscosity index (n)                                                                                                                                                                                                                                                                                                                    /vɪˈskɒs.ə.ti ˈɪn.deks/,,,,,,indeks kekentalan,indeks kekentalan,
,,,,,,,,
,,,,,,,,
vise (n)                                                                                                                                                                                                                                                                                                                                                       /vaɪs/,,,,,,ragum,"ragum, tangem, penjepit",
,,,,,,,,
,,,,,,,,
Voltage Regulator (VR) (n)                                                                                                                                                                                                                                                                                                 /vɒlteɪdʒˈreɡ.jə.leɪ.tər/,,,,,,pengatur tegangan,pembagi tegangan,
,,,,,,,,
,,,,,,,,
Volume AirFlow (VAF) (n)                                                                                                                                                                                                                                                                                                                /ˈvɒl.juːm eərfləʊ/,,,,,,volume air udara,volume aliran udara,
,,,,,,,,
W,,,,,,,,
English,,,,,,Indonesia,Local,
water jacket engine (n)                                                                                                                                                                                                                                                                                                                      /ˈwɔːtə(r) ˈdʒækɪt ˈendʒɪn /,,,,,,pendingin blok mesin,pendingin blok mesin,
,,,,,,,,
,,,,,,,,
"waterpump (n)                                                                                                                                                                                                                                                                                                                                       /ˈwɔː.tər pʌmp/
",,,,,,pompa air radiator,pompa radiator,
,,,,,,,,
,,,,,,,,
water tube (n)                                                                                                                                                                                                                                                                                                                                        /ˈwɔː.tər tʃuːb/,,,,,,pipa air,pipa air,
,,,,,,,,
,,,,,,,,
welding machine (n)                                                                                                                                                                                                                                                                                                              /weldɪŋ məˈʃiːn/,,,,,,mesin las,mesin las,
,,,,,,,,
,,,,,,,,
wheels (n)                                                                                                                                                                                                                                                                                                                                          /wiːl/,,,,,,roda,roda,
,,,,,,,,
,,,,,,,,
wheel nuts (n)                                                                                                                                                                                                                                                                                                                                 /wiːl nʌts/,,,,,,kunci roda,kunci roda,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure W.1 Wheel nuts (source: mrtyre.com),,,,,,,,
,,,,,,,,
wheel shimmy (n)                                                                                                                                                                                                                                                                                                                          /wiːl ˈʃɪm.i/,,,,,,getaran roda pada arah samping,goyangan samping pada roda,
,,,,,,,,
,,,,,,,,
wheel tramp (n)                                                                                                                                                                                                                                                                                                                            /wiːl  træmp/,,,,,,roda bergetar pada arah vertikal,roda bergetar pada arah vertikal,
,,,,,,,,
,,,,,,,,
"Wide Open Throttle (WOT) (n)                                                                                                                                                                                                                                                                                               /waɪd  ˈəʊ.pən
ˈθrɒt.əl/",,,,,,trotel membuka penuh,bukaan gas penuh,
,,,,,,,,
,,,,,,,,
windowpane (n)                                                                                                                                                                                                                                                                                                                                    /ˈwɪndəʊpeɪn/,,,,,,kaca jendela,kaca jendela,
,,,,,,,,
,,,,,,,,
wiper (n)                                                                                                                                                                                                                                                                                                                                                  /ˈwaɪpə(r)/ ,,,,,,pembersih kaca,pembersih kaca,
,,,,,,,,
,,,,,,,,
windscreen wiper (n)                                                                                                                                                                                                                                                                                                                                     /ˈwɪndskriːn ˈwaɪpə(r) /,,,,,,pembersih kaca depan,pengelap kaca depan,
,,,,,,,,
,,,,,,,,
windshield (n)                                                                                                                                                                                                                                                                                                                                                                 / ˈwɪndʃiːld/,,,,,,kaca depan,kaca depan,
,,,,,,,,
,,,,,,,,
windshield holder (n)                                                                                                                                                                                                                                                                                                                                                  / ˈwɪndʃiːld ˈhəʊldə(r)/,,,,,,pegangan kaca mobil,dudukan kaca mobil,
,,,,,,,,
,,,,,,,,
wing mirror (n)                                                                                                                                                                                                                                                                                                                                                        / wɪŋ ˈmɪrə(r)/,,,,,,kaca spion,kaca spion,
,,,,,,,,
,,,,,,,,
wiper switch (n)                                                                                                                                                                                                                                                                                                                                             /ˈwaɪp.ər   swɪtʃ/,,,,,,sakelar penyeka kaca,sakelar wiper,
,,,,,,,,
,,,,,,,,
wire brush (n)                                                                                                                                                                                                                                                                                                                                           / ˈwaɪə(r) brʌʃ/,,,,,,sikat kawat,sikat kawat,
,,,,,,,,
,,,,,,,,
wiring harness (n)                                                                                                                                                                                                                                                                                                                                      /ˈwaɪə.rɪŋ ˈhɑː.nəs/,,,,,,kabel kelistrikan,kabel body,
,,,,,,,,
,,,,,,,,
wrench (n)                                                                                                                                                                                                                                                                                                                                                 / rentʃ/,,,,,,kunci inggris,kunci inggris,
,,,,,,,,
,,,,,,,,
wrinkling (n)                                                                                                                                                                                                                                                                                                                                                 /ˈrɪŋ.klɪŋ/,,,,,,cacat pengecatan,kerutan cat,
,,,,,,,,
Y,,,,,,,,
(English),,,,,,(Indonesia),(Local),
yield point (n)                                                                                                                                                                                                                                                                                                                                 /jiːld pɔɪnt/,,,,,,titik patah,"tegangan awal, titik mati, poin hasil, arus koil",
,,,,,,,,
,,,,,,,,
yield strength (n)                                                                                                                                                                                                                                                                                                                                     /jiːld streŋθ/,,,,,,tegangan luluh,"titik luluh, kelebihan tegangan, ristan mobil",
,,,,,,,,
,,,,,,,,
young’s modulus (n)                                                                                                                                                                                                                                                                                                                   /jʌŋ’s ˈmɒd.jə.ləs/,,,,,,modulus young,"satuan tekanan modulus tarik, rumus kekakuan",
,,,,,,,,
Z,,,,,,,,
(English),,,,,,(Indonesia),(Local),
zener diode (n)                                                                                                                                                                                                                                                                                                                                                     /zee·nr dai·owd/,,,,,,diode zener,"arus listrik, dioda penghubung",
,,,,,,,,
,,,,,,,,
zero point (n)                                                                                                                                                                                                                                                                                                                                                        /ˈzɪə.rəʊ pɔɪnt/,,,,,,titik nol,"titik awal, titik mati, titik nol",
